timestamp,session_id,cfg,frame,sub_frame,version,platform,time_cpu_cycles,num_detected_obj,num_tlvs,packet_len,tlv_summary,presence_indication,point_count,target_count,target_index_count,vital_count,unknown_tlv_summary
1783488764.193,aop6m_test_02,vital_signs_AOP_6m.cfg,471,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488764.276,aop6m_test_02,vital_signs_AOP_6m.cfg,472,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488764.464,aop6m_test_02,vital_signs_AOP_6m.cfg,473,0,50659332,682051,0,3,3,224,1020:44;1010:112;1021:4,50594050,3,1,0,0,
1783488764.548,aop6m_test_02,vital_signs_AOP_6m.cfg,475,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488764.632,aop6m_test_02,vital_signs_AOP_6m.cfg,476,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488764.716,aop6m_test_02,vital_signs_AOP_6m.cfg,477,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488764.821,aop6m_test_02,vital_signs_AOP_6m.cfg,478,0,50659332,682051,0,2,3,216,1020:36;1010:112;1021:4,1,2,1,0,0,
1783488764.906,aop6m_test_02,vital_signs_AOP_6m.cfg,479,0,50659332,682051,0,16,4,338,1020:148;1010:112;1011:2;1021:4,1,16,1,2,0,
1783488765.074,aop6m_test_02,vital_signs_AOP_6m.cfg,480,0,50659332,682051,0,16,5,496,1020:148;1010:112;1011:16;1021:4;1040:136,1,16,1,16,1,
1783488765.181,aop6m_test_02,vital_signs_AOP_6m.cfg,482,0,50659332,682051,0,3,3,224,1020:44;1010:112;1021:4,1,3,1,0,0,
1783488765.270,aop6m_test_02,vital_signs_AOP_6m.cfg,483,0,50659332,682051,0,0,3,183,1010:112;1011:3;1021:4,1,0,1,3,0,
1783488765.354,aop6m_test_02,vital_signs_AOP_6m.cfg,484,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488765.438,aop6m_test_02,vital_signs_AOP_6m.cfg,485,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488765.543,aop6m_test_02,vital_signs_AOP_6m.cfg,486,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488765.627,aop6m_test_02,vital_signs_AOP_6m.cfg,487,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488765.710,aop6m_test_02,vital_signs_AOP_6m.cfg,488,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488765.795,aop6m_test_02,vital_signs_AOP_6m.cfg,489,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488765.983,aop6m_test_02,vital_signs_AOP_6m.cfg,490,0,50659332,682051,0,6,3,248,1020:68;1010:112;1021:4,50594050,6,1,0,0,
1783488766.067,aop6m_test_02,vital_signs_AOP_6m.cfg,492,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488766.171,aop6m_test_02,vital_signs_AOP_6m.cfg,493,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488766.254,aop6m_test_02,vital_signs_AOP_6m.cfg,494,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488766.338,aop6m_test_02,vital_signs_AOP_6m.cfg,495,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488766.485,aop6m_test_02,vital_signs_AOP_6m.cfg,496,0,50659332,682051,0,0,3,316,1010:112;1021:4;1040:136,1,0,1,0,1,
1783488766.528,aop6m_test_02,vital_signs_AOP_6m.cfg,497,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488766.612,aop6m_test_02,vital_signs_AOP_6m.cfg,498,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488766.696,aop6m_test_02,vital_signs_AOP_6m.cfg,499,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488766.800,aop6m_test_02,vital_signs_AOP_6m.cfg,500,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488766.884,aop6m_test_02,vital_signs_AOP_6m.cfg,501,0,50659332,682051,0,7,3,256,1020:76;1010:112;1021:4,1,7,1,0,0,
1783488766.969,aop6m_test_02,vital_signs_AOP_6m.cfg,502,0,50659332,682051,0,0,3,187,1010:112;1011:7;1021:4,1,0,1,7,0,
1783488767.074,aop6m_test_02,vital_signs_AOP_6m.cfg,503,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488767.158,aop6m_test_02,vital_signs_AOP_6m.cfg,504,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488767.242,aop6m_test_02,vital_signs_AOP_6m.cfg,505,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488767.326,aop6m_test_02,vital_signs_AOP_6m.cfg,506,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488767.431,aop6m_test_02,vital_signs_AOP_6m.cfg,507,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488767.515,aop6m_test_02,vital_signs_AOP_6m.cfg,508,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
