timestamp,session_id,cfg,frame,sub_frame,point_index,tlv_type,point_format,x_m,y_m,z_m,range_m,azimuth_rad,elevation_rad,doppler_mps,snr_db,noise_db,raw_range,raw_azimuth,raw_elevation,raw_doppler,raw_snr,raw_noise,range_unit,azimuth_unit,elevation_unit,doppler_unit,snr_unit
1783488723.048,aop6m_test_02,vital_signs_AOP_6m.cfg,14,0,2,1020,compressed_spherical,-0.054169,0.772576,-0.273960,0.821500,-0.070000,-0.340000,0.315840,6.120000,,3286,-7,-34,1128,153,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488723.152,aop6m_test_02,vital_signs_AOP_6m.cfg,15,0,0,1020,compressed_spherical,0.057127,0.712557,-0.252867,0.758250,0.080000,-0.340000,-5.053440,5.000000,,3033,8,-34,-18048,125,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488723.278,aop6m_test_02,vital_signs_AOP_6m.cfg,16,0,0,1020,compressed_spherical,0.057127,0.712557,-0.252867,0.758250,0.080000,-0.340000,-5.053440,5.000000,,3033,8,-34,-18048,125,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488723.322,aop6m_test_02,vital_signs_AOP_6m.cfg,17,0,0,1020,compressed_spherical,-0.124205,0.582731,-0.210764,0.632000,-0.210000,-0.340000,5.053440,13.640000,,2528,-21,-34,18048,341,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488723.322,aop6m_test_02,vital_signs_AOP_6m.cfg,17,0,1,1020,compressed_spherical,-0.130218,0.642385,-0.231857,0.695250,-0.200000,-0.340000,5.053440,30.359999,,2781,-20,-34,18048,759,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488723.322,aop6m_test_02,vital_signs_AOP_6m.cfg,17,0,2,1020,compressed_spherical,-0.141373,0.735094,-0.120803,0.758250,-0.190000,-0.160000,5.053440,33.119999,,3033,-19,-16,18048,828,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488723.322,aop6m_test_02,vital_signs_AOP_6m.cfg,17,0,3,1020,compressed_spherical,-0.134015,0.736471,-0.120803,0.758250,-0.180000,-0.160000,5.053440,32.239999,,3033,-18,-16,18048,806,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488723.322,aop6m_test_02,vital_signs_AOP_6m.cfg,17,0,4,1020,compressed_spherical,-0.144426,0.793683,-0.155148,0.821500,-0.180000,-0.190000,3.632160,16.880000,,3286,-18,-19,12972,422,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488723.322,aop6m_test_02,vital_signs_AOP_6m.cfg,17,0,5,1020,compressed_spherical,-0.126644,0.737774,-0.120803,0.758250,-0.170000,-0.160000,5.053440,29.879999,,3033,-17,-16,18048,747,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488723.322,aop6m_test_02,vital_signs_AOP_6m.cfg,17,0,6,1020,compressed_spherical,-0.118629,0.735094,-0.143202,0.758250,-0.160000,-0.190000,5.053440,26.759999,,3033,-16,-19,18048,669,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
