timestamp,session_id,cfg,frame,sub_frame,point_index,target_index,raw_target_index
1783488723.952,aop6m_test_02,vital_signs_AOP_6m.cfg,24,0,15,255,255
1783488723.952,aop6m_test_02,vital_signs_AOP_6m.cfg,24,0,16,255,255
1783488723.952,aop6m_test_02,vital_signs_AOP_6m.cfg,24,0,17,255,255
1783488723.952,aop6m_test_02,vital_signs_AOP_6m.cfg,24,0,18,255,255
1783488723.952,aop6m_test_02,vital_signs_AOP_6m.cfg,24,0,19,255,255
1783488723.952,aop6m_test_02,vital_signs_AOP_6m.cfg,24,0,20,255,255
1783488723.952,aop6m_test_02,vital_signs_AOP_6m.cfg,24,0,21,255,255
1783488723.952,aop6m_test_02,vital_signs_AOP_6m.cfg,24,0,22,255,255
1783488723.952,aop6m_test_02,vital_signs_AOP_6m.cfg,24,0,23,255,255
1783488723.952,aop6m_test_02,vital_signs_AOP_6m.cfg,24,0,24,255,255
1783488723.952,aop6m_test_02,vital_signs_AOP_6m.cfg,24,0,25,255,255
1783488723.952,aop6m_test_02,vital_signs_AOP_6m.cfg,24,0,26,255,255
1783488723.952,aop6m_test_02,vital_signs_AOP_6m.cfg,24,0,27,255,255
1783488723.952,aop6m_test_02,vital_signs_AOP_6m.cfg,24,0,28,255,255
1783488723.952,aop6m_test_02,vital_signs_AOP_6m.cfg,24,0,29,255,255
1783488723.952,aop6m_test_02,vital_signs_AOP_6m.cfg,24,0,30,255,255
1783488723.952,aop6m_test_02,vital_signs_AOP_6m.cfg,24,0,31,255,255
1783488723.952,aop6m_test_02,vital_signs_AOP_6m.cfg,24,0,32,255,255
1783488723.952,aop6m_test_02,vital_signs_AOP_6m.cfg,24,0,33,255,255
1783488723.952,aop6m_test_02,vital_signs_AOP_6m.cfg,24,0,34,255,255
1783488723.952,aop6m_test_02,vital_signs_AOP_6m.cfg,24,0,35,255,255
1783488724.150,aop6m_test_02,vital_signs_AOP_6m.cfg,26,0,0,0,0
1783488724.150,aop6m_test_02,vital_signs_AOP_6m.cfg,26,0,1,0,0
1783488724.150,aop6m_test_02,vital_signs_AOP_6m.cfg,26,0,2,0,0
1783488724.150,aop6m_test_02,vital_signs_AOP_6m.cfg,26,0,3,0,0
1783488724.150,aop6m_test_02,vital_signs_AOP_6m.cfg,26,0,4,0,0
1783488724.150,aop6m_test_02,vital_signs_AOP_6m.cfg,26,0,5,0,0
1783488724.150,aop6m_test_02,vital_signs_AOP_6m.cfg,26,0,6,0,0
1783488724.150,aop6m_test_02,vital_signs_AOP_6m.cfg,26,0,7,0,0
1783488724.150,aop6m_test_02,vital_signs_AOP_6m.cfg,26,0,8,0,0
1783488724.150,aop6m_test_02,vital_signs_AOP_6m.cfg,26,0,9,254,254
1783488724.150,aop6m_test_02,vital_signs_AOP_6m.cfg,26,0,10,254,254
1783488724.150,aop6m_test_02,vital_signs_AOP_6m.cfg,26,0,11,0,0
1783488724.150,aop6m_test_02,vital_signs_AOP_6m.cfg,26,0,12,0,0
1783488724.150,aop6m_test_02,vital_signs_AOP_6m.cfg,26,0,13,0,0
1783488724.150,aop6m_test_02,vital_signs_AOP_6m.cfg,26,0,14,0,0
1783488724.150,aop6m_test_02,vital_signs_AOP_6m.cfg,26,0,15,0,0
1783488724.150,aop6m_test_02,vital_signs_AOP_6m.cfg,26,0,16,0,0
1783488724.150,aop6m_test_02,vital_signs_AOP_6m.cfg,26,0,17,0,0
1783488724.150,aop6m_test_02,vital_signs_AOP_6m.cfg,26,0,18,254,254
