timestamp,session_id,cfg,frame,sub_frame,vital_index,target_id,range_bin,breath_deviation,heart_rate,breath_rate,heart_waveform,breath_waveform
1783488759.268,aop6m_test_02,vital_signs_AOP_6m.cfg,416,0,0,0,18,0.070235,73.660,15.067,0.659671;0.496514;-0.731327;-0.779821;0.445545;0.763413;-0.031365;-0.446266;-0.268442;-0.044184;0.433452;0.757246;-0.485192;-1.329843;0.088506,-0.346655;-0.263137;-0.183434;-0.172405;-0.129707;-0.069987;0.056071;0.138552;0.135713;-0.004774;-0.018675;0.179682;0.349937;0.441605;0.476572
1783488760.717,aop6m_test_02,vital_signs_AOP_6m.cfg,432,0,0,0,18,0.091788,71.986,15.067,0.757728;-0.026743;-0.439355;-0.271213;0.065949;0.497530;0.199363;-0.645390;-0.551775;0.508351;0.761236;-0.036477;-0.381761;-0.177488;-0.165226,-0.070709;0.055762;0.136969;0.138503;0.165320;0.274215;0.483864;0.594047;0.588108;0.516238;0.377159;0.212055;0.081798;-0.016080;-0.056226
1783488762.167,aop6m_test_02,vital_signs_AOP_6m.cfg,448,0,0,0,18,0.048151,71.986,13.393,0.459738;0.777754;-0.549767;-1.357305;0.158003;1.224737;0.345353;-0.354240;-0.208857;-0.255315;-0.323440;0.117410;0.267504;0.024560;0.390883,-0.021188;0.186525;0.358672;0.448592;0.479326;0.435280;0.344715;0.263193;0.186477;0.143784;0.100034;0.101010;-0.024610;-0.165212;-0.255473
1783488763.602,aop6m_test_02,vital_signs_AOP_6m.cfg,464,0,0,0,18,0.088239,50.223,13.393,0.734075;0.024423;-0.404598;-0.196634;-0.101397;-0.099601;0.183541;0.173840;-0.071374;0.333820;0.195669;-0.657360;-0.431519;0.782404;0.462562,0.356947;0.197797;0.070962;-0.025821;-0.067850;-0.090980;-0.059983;-0.154477;-0.264369;-0.329559;-0.412494;-0.584034;-0.725469;-0.576121;-0.304001
1783488765.074,aop6m_test_02,vital_signs_AOP_6m.cfg,480,0,0,0,18,0.106462,71.986,15.067,-0.105459;0.163076;0.182349;-0.050678;0.336214;0.184458;-0.668284;-0.420628;0.781958;0.452017;-0.264082;-0.329854;-0.416725;-0.587654;-0.728439,-0.577561;-0.303616;-0.012551;0.334911;0.496254;0.549478;0.503090;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
1783488766.485,aop6m_test_02,vital_signs_AOP_6m.cfg,496,0,0,0,18,0.062059,50.223,15.067,0.239360;-0.663705;-0.340732;0.652395;-0.140929;-0.972233;0.175283;1.330300;0.372462;-0.738431;-0.561296;-0.079065;0.223443;-0.029641;-0.229516,-0.349697;-0.515052;-0.474054;-0.242719;0.012262;0.137556;0.201198;0.202871;0.194816;0.160586;0.090315;0.107011;0.207487;0.247296;0.220010
1783488767.913,aop6m_test_02,vital_signs_AOP_6m.cfg,512,0,0,0,18,0.040804,50.223,15.067,-0.138859;0.324333;0.812629;0.068759;-0.755999;-0.534578;0.053403;0.420184;0.040575;-0.300606;0.323934;0.515655;-0.218156;-0.331897;-0.074127,0.259882;0.215091;0.124832;0.047628;-0.029338;-0.117516;-0.099133;0.018440;0.084193;0.085483;0.053564;-0.058042;-0.180638;-0.249150;-0.277479
1783488769.357,aop6m_test_02,vital_signs_AOP_6m.cfg,528,0,0,0,18,0.045130,71.986,15.067,-0.523820;0.071515;0.414298;0.027542;-0.306114;0.319708;0.516031;-0.211037;-0.321458;-0.072086;-0.228360;-0.076804;0.268949;0.191316;0.038448,-0.116874;-0.100349;0.015414;0.081292;0.083157;0.052711;-0.058807;-0.180839;-0.248862;-0.276503;-0.248904;-0.158851;-0.052620;0.040740;0.085497
1783488770.809,aop6m_test_02,vital_signs_AOP_6m.cfg,544,0,0,0,18,0.062026,71.986,15.067,0.227484;0.541936;-0.111840;-0.112337;0.060864;-0.266821;-0.178768;0.182946;0.131535;0.026661;0.084822;0.073048;-0.030625;-0.153629;-0.156934,-0.145983;-0.287251;-0.415827;-0.472954;-0.478217;-0.422564;-0.302872;-0.167994;-0.048479;0.014541;0.009747;-0.039644;-0.107604;-0.191537;-0.248118
1783488772.243,aop6m_test_02,vital_signs_AOP_6m.cfg,560,0,0,0,18,0.029306,71.986,16.741,-0.281211;-0.100586;0.268979;0.203237;0.039953;0.035020;0.032435;-0.048733;-0.170181;-0.155778;0.076498;0.089946;-0.083985;0.074307;0.126746,-0.258915;-0.169134;-0.060094;0.040788;0.083919;0.061490;-0.003977;-0.085911;-0.181184;-0.245401;-0.221129;-0.187396;-0.110829;-0.040108;-0.014094
1783488773.674,aop6m_test_02,vital_signs_AOP_6m.cfg,576,0,0,0,18,0.051154,50.223,16.741,0.069844;0.047713;-0.048962;-0.196331;-0.192769;0.057839;0.095497;-0.064389;0.096761;0.137160;-0.009471;-0.092142;0.137672;0.081511;-0.331982,0.042055;-0.018632;-0.096891;-0.188590;-0.248825;-0.220291;-0.182618;-0.101679;-0.026468;0.003400;-0.032278;-0.120168;-0.170787;-0.172684;-0.125201
