"main_label","person_count","lying_count","moving_count","breathing_count","scenario_note","source","estimated_time_sec","frame","num_detected_obj","num_tlvs","packet_len","tlv_summary","has_vital","target_id","range_bin","breath_deviation","heart_rate","breath_rate","raw_radar","raw_vital"
"one_breathing_one_walking","2","1","1","1","one lying person breathing, one person walking back and forth on the same path","pasted_text","113.85","1268","149","4","1508","1020:1212","0","","","","","","RADAR,1268,149,4,1508,1020:1212",""
"one_breathing_one_walking","2","1","1","1","one lying person breathing, one person walking back and forth on the same path","pasted_text","114.48","1275","149","4","1530","1020:1212;1010:112;1011:130;1021:4","0","","","","","","RADAR,1275,149,4,1530,1020:1212;1010:112;1011:130;1021:4",""
"one_breathing_one_walking","2","1","1","1","one lying person breathing, one person walking back and forth on the same path","pasted_text","115.02","1281","149","4","1416","1020:1212","0","","","","","","RADAR,1281,149,4,1416,1020:1212",""
"one_breathing_one_walking","2","1","1","1","one lying person breathing, one person walking back and forth on the same path","pasted_text","115.56","1287","113","4","1199","1020:924","0","","","","","","RADAR,1287,113,4,1199,1020:924",""
"one_breathing_one_walking","2","1","1","1","one lying person breathing, one person walking back and forth on the same path","pasted_text","116.19","1294","109","4","1206","1020:892;1010:112;1011:126;1021:4","0","","","","","","RADAR,1294,109,4,1206,1020:892;1010:112;1011:126;1021:4",""
"one_breathing_one_walking","2","1","1","1","one lying person breathing, one person walking back and forth on the same path","pasted_text","116.73","1300","37","4","578","1020:316;1010:112;1011:74;1021:4","0","","","","","","RADAR,1300,37,4,578,1020:316;1010:112;1011:74;1021:4",""
"one_breathing_one_walking","2","1","1","1","one lying person breathing, one person walking back and forth on the same path","pasted_text","117.27","1306","0","2","172","1010:112;1021:4","0","","","","","","RADAR,1306,0,2,172,1010:112;1021:4",""
"one_breathing_one_walking","2","1","1","1","one lying person breathing, one person walking back and forth on the same path","pasted_text","117.81","1312","0","3","316","1010:112;1021:4;1040:136","1","0","20","0.0057","61.9","8.4","RADAR,1312,0,3,316,1010:112;1021:4;1040:136","VITAL,1312,id=0,rangeBin=20,breathDev=0.0057,heartRate=61.9,breathRate=8.4"
"one_breathing_one_walking","2","1","1","1","one lying person breathing, one person walking back and forth on the same path","pasted_text","118.35","1318","0","2","172","1010:112;1021:4","0","","","","","","RADAR,1318,0,2,172,1010:112;1021:4",""
"one_breathing_one_walking","2","1","1","1","one lying person breathing, one person walking back and forth on the same path","pasted_text","118.89","1324","0","2","172","1010:112;1021:4","0","","","","","","RADAR,1324,0,2,172,1010:112;1021:4",""
